Monkey,Day,Amp2,Width2,Freq2,Dur2,Active_Channels,Return_Channels,Freq1,Dur1,Dimension,Fixed_Param_Value,Date,Threshold,width,lambda,gamma,beta,location_CI_95,width_CI_95,lambda_CI_95,gamma_CI_95,beta_CI_95,location_CI_5,width_CI_5,lambda_CI_5,gamma_CI_5,beta_CI_5,Experiment Type,Reference Amplitude (μA),Reference Pulse Width (μs),Reference Charge (nC),Amplitude (μA),Pulse Width (μs),Threshold_Charge_nC,Difference Threshold (nC),Weber_Fraction
U,287,300,200,50,200,15,128,50,200,Amp,200,4/7/2017,568.8777172,222.5018545,7.74E-10,0.091720657,1.31E-13,534.3030299,142.0025237,0.001365712,0.037701383,0.002204352,588.8812445,345.9019768,0.137039072,0.165300068,0.216072094,Discrimination,300,200,60,568.8777172,200,113.7755434,53.77554344,0.896259057
U,290,480,200,50,500,15,128,50,500,Amp,200,4/10/2017,482.3875976,59.64114738,0.215566082,2.07E-10,4.08E-11,466.8745355,30.80637032,0.033091291,0.002703178,0.001970914,502.5693582,173.1869891,0.295176317,0.311385657,0.199988731,Discrimination,480,200,96,482.3875976,200,96.47751952,0.477519519,0.004974162
U,291,500,200,50,500,15,128,50,500,Amp,200,4/11/2017,625.6972087,360.3994125,1.02E-07,2.82E-06,4.42E-05,502.0627638,182.8443106,0.000638129,0.002551951,0.002534347,717.8407751,928.9469727,0.088007546,0.269812339,0.306327401,Discrimination,500,200,100,625.6972087,200,125.1394417,25.13944174,0.251394417
U,293,500,200,50,500,15,128,50,500,Amp,200,4/13/2017,527.5175468,294.93615,0.013718895,1.25E-13,5.99E-06,466.3331163,173.0874658,0.001918494,0.002461831,0.002109215,570.2611482,513.8785729,0.077406625,0.29337071,0.224463056,Discrimination,500,200,100,527.5175468,200,105.5035094,5.50350937,0.055035094
U,294,400,200,50,500,15,128,50,500,Amp,200,4/14/2017,495.6916328,222.3590236,8.68E-14,4.20E-05,2.09E-10,464.4162887,70.13075273,0.00066922,0.004224161,0.002274111,548.4971302,370.001074,0.087204772,0.294328656,0.253691917,Discrimination,400,200,80,495.6916328,200,99.13832657,19.13832657,0.239229082
U,294,580,200,50,500,15,128,50,500,Amp,200,4/14/2017,625.0249218,65.64134117,1.26E-08,3.33E-07,6.33E-05,606.4051954,44.9525641,0.000591597,0.001619287,0.002643903,644.819927,164.477975,0.08019426,0.198395646,0.328622913,Discrimination,580,200,116,625.0249218,200,125.0049844,9.004984351,0.077629175
U,294,670,200,50,500,15,128,50,500,Amp,200,4/14/2017,709.7192213,125.4703918,0.029932178,1.01E-05,2.41E-13,663.8625946,58.97472373,0.004006058,0.00255908,0.002318546,743.7516407,373.400187,0.150750655,0.277810514,0.267716527,Discrimination,670,200,134,709.7192213,200,141.9438443,7.943844268,0.05928242
U,299,300,200,50,500,15,16,50,500,Amp,200,4/19/2017,349.6110365,129.378234,9.61E-08,1.37E-06,6.70E-13,313.3510071,57.79004617,0.000887005,0.002614166,0.002677399,380.3344315,290.9120484,0.11394815,0.258283035,0.321870525,Discrimination,300,200,60,349.6110365,200,69.9222073,9.922207302,0.165370122
U,299,420,200,50,500,15,16,50,500,Amp,200,4/19/2017,442.7029639,237.7638059,0.018141794,5.24E-07,3.35E-05,406.1042144,114.1034344,0.002194091,0.002285977,0.00260679,469.5197373,405.9766562,0.147096964,0.272850271,0.244763274,Discrimination,420,200,84,442.7029639,200,88.54059279,4.540592788,0.054054676
U,306,300,200,50,500,15,128,50,500,Amp,200,4/26/2017,375.1812766,55.57222548,3.05E-09,9.88E-09,0.000222501,334.4074393,40.7624425,0.001278367,0.001674184,0.002646686,413.7170763,303.0112333,0.168563814,0.217258115,0.336019324,Discrimination,300,200,60,375.1812766,200,75.03625531,15.03625531,0.250604255
U,306,500,200,50,500,15,128,50,500,Amp,200,4/26/2017,585.8637719,231.0870773,4.89E-14,6.84E-07,4.50E-13,498.7142623,73.64452913,0.002449393,0.002905577,0.002475639,706.5706825,508.6682951,0.293221377,0.308258146,0.296724203,Discrimination,500,200,100,585.8637719,200,117.1727544,17.17275438,0.171727544
U,308,70,200,50,500,15,16,50,500,Amp,200,4/28/2017,225.4864789,43.83951872,1.20E-08,3.20E-09,0.000104319,210.7467968,37.4077636,0.000527703,0.000798014,0.00453078,239.9050852,100.1116014,0.075777324,0.112841946,0.540259599,Discrimination,70,200,14,225.4864789,200,45.09729577,31.09729577,2.221235412
U,308,140,200,50,500,15,16,50,500,Amp,200,4/28/2017,233.5492597,19.99291265,0.065330201,6.46E-07,9.31E-08,216.8523351,16.14642519,0.016216954,0.00073809,0.002404962,246.2527166,128.4043731,0.178617875,0.101710369,0.291951924,Discrimination,140,200,28,233.5492597,200,46.70985195,18.70985195,0.668208998
U,312,300,200,50,500,15,128,50,500,Amp,200,5/2/2017,368.2751824,118.5112068,7.44E-09,1.05E-05,0.000127774,357.0743237,65.98746038,0.000262539,0.003015233,0.002232107,390.2879874,168.0865326,0.03653526,0.248174907,0.263299126,Discrimination,300,200,60,368.2751824,200,73.65503647,13.65503647,0.227583941
U,313,400,200,50,500,15,128,50,500,Amp,200,5/3/2017,440.6752978,117.7795984,0.000121023,0.009681899,2.20E-12,419.6560015,48.27110922,0.002372939,0.007638343,0.002207367,454.1628916,180.7023839,0.163108181,0.060100113,0.262531765,Discrimination,400,200,80,440.6752978,200,88.13505956,8.135059557,0.101688244
U,313,600,200,50,500,15,128,50,500,Amp,200,5/3/2017,680.6811583,173.8951188,1.13E-12,8.60E-07,5.42E-13,649.7571668,90.52577007,0.001179165,0.001895209,0.002293005,709.7791784,309.600503,0.136523719,0.22447588,0.262993867,Discrimination,600,200,120,680.6811583,200,136.1362317,16.13623166,0.134468597
U,313,610,200,50,500,15,128,50,500,Amp,200,5/3/2017,524.7784921,303.2898663,1.04E-15,1.89E-05,8.21E-08,346.4904158,60.98682985,0.003648756,0.00279586,0.002526454,653.5073885,548.0506038,0.327884017,0.311664625,0.308961877,Discrimination,610,200,122,524.7784921,200,104.9556984,-17.04430158,-0.13970739
U,320,400,200,50,500,15,128,50,500,Amp,200,5/10/2017,613.4274133,186.7243221,2.80E-05,3.74E-15,2.18E-11,516.1332537,60.99795732,0.00294232,0.001722587,0.002550859,680.2466081,484.4367307,0.337494354,0.210765126,0.311240698,Discrimination,400,200,80,613.4274133,200,122.6854827,42.68548266,0.533568533
U,320,600,200,50,500,15,128,50,500,Amp,200,5/10/2017,642.3270176,95.95329261,0.063963281,1.34E-09,2.19E-13,606.1588606,39.51342367,0.026912916,0.002266531,0.002017367,667.2044054,363.6347987,0.122711878,0.247842309,0.21655406,Discrimination,600,200,120,642.3270176,200,128.4654035,8.465403523,0.070545029
U,326,400,200,50,500,15,64,50,500,Amp,200,5/16/2017,526.2031633,295.6034284,2.84E-07,2.85E-06,3.39E-05,477.1469663,92.3906847,0.002165033,0.003522203,0.00242063,594.0638405,497.866145,0.254720534,0.283730964,0.277929665,Discrimination,400,200,80,526.2031633,200,105.2406327,25.24063267,0.315507908
U,326,600,200,50,500,15,64,50,500,Amp,200,5/16/2017,711.7072258,117.770043,0.109605283,0.078793018,1.05E-13,682.7927984,58.72490044,0.005330637,0.003721624,0.002187363,745.2185088,369.3680932,0.239973257,0.209500622,0.23900399,Discrimination,600,200,120,711.7072258,200,142.3414452,22.34144517,0.18617871
U,326,800,200,50,500,15,64,50,500,Amp,200,5/16/2017,843.3083742,521.7785933,5.64E-08,1.73E-06,1.84E-06,611.6957047,182.2319491,0.002828471,0.002557416,0.00249823,939.0442487,1014.757046,0.299850656,0.313691285,0.285332313,Discrimination,800,200,160,843.3083742,200,168.6616748,8.661674848,0.054135468
U,357,200,100,50,500,15,128,50,500,Amp,200,6/16/2017,208.7875766,17.78132553,3.56E-09,6.65E-06,0.000228252,201.4871253,12.82597064,0.000529919,0.001701452,0.002849829,214.4647234,58.05325066,0.073393808,0.219179221,0.370644757,Discrimination,200,100,20,208.7875766,200,41.75751531,21.75751531,1.087875766
U,375,400,100,50,500,15,16,50,500,Amp,200,7/4/2017,418.6420585,39.0113331,0.053013229,4.59E-10,7.76E-11,359.4924995,34.16400905,0.010003534,0.002601807,0.002484445,461.5693705,326.1566918,0.262383076,0.31538316,0.298876364,Discrimination,400,100,40,418.6420585,200,83.7284117,43.7284117,1.093210292
U,615,500,200,50,200,15,128,50,200,Amp,200,3/1/2018,800.3486597,464.7632948,1.79E-16,0.046769704,1.81E-12,710.7941497,164.3551396,0.002059146,0.004325329,0.002583415,863.0805039,796.4223543,0.195783267,0.195350283,0.288862094,Discrimination,500,200,100,800.3486597,200,160.0697319,60.06973194,0.600697319
U,615,1000,200,50,200,15,128,50,200,Amp,200,3/1/2018,1161.2152,277.9028167,3.42E-13,0.080991421,2.51E-09,1106.933673,115.6820797,0.000625658,0.020607673,0.002674188,1225.203092,511.2137041,0.085229137,0.228976994,0.315395172,Discrimination,1000,200,200,1161.2152,200,232.24304,32.24303995,0.1612152
U,640,500,200,50,200,15,128,50,200,Amp,200,3/26/2018,771.7948718,821.5384615,0,0,0,130.0131831,136.3060463,0.004137973,0.002449704,0.002526454,1053.340452,1659.034564,0.331921632,0.296500734,0.308961877,Discrimination,500,200,100,771.7948718,200,154.3589744,54.35897436,0.543589744
U,641,400,200,50,200,15,128,50,200,Amp,200,3/27/2018,467.0581458,408.6292717,1.70E-06,9.23E-13,7.11E-12,410.5519095,121.2192245,0.001589821,0.002698781,0.004030189,519.0492957,602.396297,0.093990965,0.283110546,0.330963414,Discrimination,400,200,80,467.0581458,200,93.41162915,13.41162915,0.167645364
U,649,500,200,50,200,15,128,50,200,Amp,200,4/4/2018,627.6678015,293.4866832,3.09E-13,9.34E-05,1.54E-11,588.3317331,165.2023016,0.000673632,0.0020872,0.002267766,676.2763042,458.302103,0.088609106,0.206658636,0.25892766,Discrimination,500,200,100,627.6678015,200,125.5335603,25.5335603,0.255335603
U,649,800,200,50,200,15,128,50,200,Amp,200,4/4/2018,943.377207,206.3386853,1.03E-07,4.74E-07,4.70E-05,893.7730229,98.38323286,0.00108133,0.001282468,0.002704382,986.0978093,417.6373683,0.123995815,0.167642388,0.332523812,Discrimination,800,200,160,943.377207,200,188.6754414,28.67544141,0.179221509
U,649,1100,200,50,200,15,128,50,200,Amp,200,4/4/2018,1230.468032,179.2171436,1.89E-08,5.76E-08,0.000175202,1090.504717,99.4709711,0.001987298,0.001808348,0.002535787,1369.399211,1242.018104,0.238665885,0.231857011,0.308805649,Discrimination,1100,200,220,1230.468032,200,246.0936064,26.09360645,0.118607302
U,650,500,200,50,200,15,128,50,200,Amp,200,4/5/2018,577.4410539,282.777773,3.50E-13,9.21E-06,1.06E-12,536.3602812,144.237277,0.000423876,0.003070128,0.002597523,634.7938207,460.4052103,0.058722499,0.286759299,0.299309306,Discrimination,500,200,100,577.4410539,200,115.4882108,15.48821078,0.154882108
U,650,800,200,50,200,15,128,50,200,Amp,200,4/5/2018,895.3579919,288.2561518,9.22E-12,2.27E-12,2.65E-13,783.8692382,104.757209,0.001319009,0.002269432,0.0026101,968.7404404,793.8173411,0.164626052,0.276002854,0.315948934,Discrimination,800,200,160,895.3579919,200,179.0715984,19.07159839,0.11919749
U,651,800,200,50,200,15,128,50,200,Amp,200,4/6/2018,944.1975084,301.12687,5.05E-12,2.42E-09,4.25E-11,906.8541468,144.74368,0.000708335,0.002878535,0.002268714,1004.347325,466.8932045,0.093684094,0.229487649,0.258561089,Discrimination,800,200,160,944.1975084,200,188.8395017,28.83950169,0.180246886
U,651,1000,200,50,200,15,128,50,200,Amp,200,4/6/2018,1187.819005,212.3286954,1.30E-09,0.000285652,0.000139721,1156.333995,95.35872755,0.000267224,0.001447039,0.002416303,1227.703512,320.1472609,0.034380977,0.139399395,0.28669994,Discrimination,1000,200,200,1187.819005,200,237.563801,37.56380099,0.187819005
U,651,1300,200,50,200,15,128,50,200,Amp,200,4/6/2018,1377.887773,153.1230108,5.06E-09,7.37E-06,0.000327792,-128.2090627,168.1523444,0.001610255,0.002413211,0.002648494,1478.837853,3793.152741,0.208129162,0.297092735,0.332521511,Discrimination,1300,200,260,1377.887773,200,275.5775546,15.57755456,0.059913671
U,656,800,200,50,200,15,128,50,200,Amp,200,4/11/2018,950.8061374,333.2332978,6.23E-13,8.10E-05,5.27E-12,906.007495,162.2787918,0.000663085,0.002421755,0.002197506,1009.899205,527.5934204,0.078356484,0.21456666,0.251618858,Discrimination,800,200,160,950.8061374,200,190.1612275,30.16122749,0.188507672
U,656,1100,200,50,200,15,128,50,200,Amp,200,4/11/2018,1301.645871,244.4371416,2.07E-10,8.70E-10,2.91E-09,1261.971283,151.9227034,0.00063353,0.000871043,0.002879817,1343.026654,399.7499425,0.080868035,0.117963534,0.343596202,Discrimination,1100,200,220,1301.645871,200,260.3291741,40.32917412,0.183314428
U,657,1100,200,50,200,15,128,50,200,Amp,200,4/12/2018,1322.265665,297.384496,3.02E-11,0.000103528,2.50E-13,1288.925441,145.2631151,0.000550119,0.002024104,0.002465463,1376.432292,427.6212905,0.074553874,0.159358165,0.287165026,Discrimination,1100,200,220,1322.265665,200,264.453133,44.453133,0.202059695
U,657,1400,200,50,200,15,128,50,200,Amp,200,4/12/2018,1665.015932,187.7141286,4.98E-14,0.116738894,1.65E-11,1556.797149,145.2125664,0.000711512,0.005172794,0.002428944,1713.085793,696.6759546,0.095972149,0.255728876,0.286155602,Discrimination,1400,200,280,1665.015932,200,333.0031863,53.00318631,0.189297094
U,657,1600,200,50,200,15,128,50,200,Amp,200,4/12/2018,1781.832388,515.4047132,1.02E-14,8.88E-13,3.51E-06,1677.97573,183.0551732,0.001666172,0.002507038,0.002514148,1869.694469,924.0622106,0.156632329,0.247511545,0.290779382,Discrimination,1600,200,320,1781.832388,200,356.3664776,36.3664776,0.113645243
U,675,300,200,50,200,15,240,50,200,Amp,200,4/30/2018,261.0939574,392.8016531,0.041627417,8.62E-13,4.34E-15,-94.25934252,153.6576978,0.004925812,0.002509392,0.002538853,372.9210562,1506.204599,0.213916225,0.306141934,0.30526795,Discrimination,300,200,60,261.0939574,200,52.21879147,-7.781208526,-0.129686809
U,676,500,200,50,200,15,240,50,200,Amp,200,5/1/2018,664.3212495,265.2243589,1.10E-08,3.27E-09,0.000257229,615.4091896,134.3150598,0.000971561,0.001854125,0.002399935,721.5681226,507.24782,0.127248965,0.204957312,0.280074215,Discrimination,500,200,100,664.3212495,200,132.8642499,32.8642499,0.328642499
U,676,1000,200,50,200,15,240,50,200,Amp,200,5/1/2018,1074.161881,375.2398189,8.20E-07,9.19E-07,6.90E-10,958.7284083,171.8986386,0.000898109,0.002858858,0.00241885,1164.332974,819.0555442,0.119009637,0.326741762,0.282112547,Discrimination,1000,200,200,1074.161881,200,214.8323762,14.83237624,0.074161881
U,677,400,200,50,200,15,240,50,200,Amp,200,5/2/2018,513.7310874,244.2017101,0.019971273,2.21E-13,1.04E-13,475.5080376,100.5482312,0.004815229,0.003496895,0.002415436,572.3625507,469.2892726,0.111913151,0.25663086,0.2797904,Discrimination,400,200,80,513.7310874,200,102.7462175,22.74621749,0.284327719
U,678,400,200,50,200,15,240,50,200,Amp,200,5/3/2018,499.4814225,390.9648363,2.34E-13,7.19E-14,1.27E-05,295.1554688,71.3399269,0.002532805,0.002704015,0.002578436,736.9086514,1004.875377,0.270326145,0.323440942,0.318700093,Discrimination,400,200,80,499.4814225,200,99.8962845,19.8962845,0.248703556
U,678,500,200,50,200,15,240,50,200,Amp,200,5/3/2018,634.6137131,446.1681338,1.94E-07,1.55E-06,7.73E-05,581.0726974,188.1555993,0.001192242,0.003131281,0.002016714,714.5401696,686.6656036,0.120017309,0.283625697,0.221505004,Discrimination,500,200,100,634.6137131,200,126.9227426,26.92274261,0.269227426
U,678,800,200,50,200,15,240,50,200,Amp,200,5/3/2018,944.1530417,199.3397973,5.71E-14,0.052160508,2.92E-13,897.4463427,60.63807083,0.000614549,0.005279044,0.003373874,977.6815147,396.2037009,0.068716941,0.200940917,0.370123939,Discrimination,800,200,160,944.1530417,200,188.8306083,28.83060833,0.180191302
U,679,400,200,50,200,15,240,50,200,Amp,200,5/4/2018,531.6455827,260.5738495,2.72E-06,5.31E-08,4.91E-13,494.9429394,141.510553,0.000682575,0.001449839,0.002995462,571.0060228,398.7267331,0.087409292,0.173729858,0.332934605,Discrimination,400,200,80,531.6455827,200,106.3291165,26.32911654,0.329113957
U,679,800,200,50,200,15,240,50,200,Amp,200,5/4/2018,920.9815066,117.613118,3.55E-08,0.158839747,4.70E-05,879.3010551,88.09365293,0.000239735,0.015635648,0.002605316,940.3617715,278.6581183,0.033789354,0.270035935,0.310315898,Discrimination,800,200,160,920.9815066,200,184.1963013,24.19630133,0.151226883
U,686,300,200,50,200,15,128,50,200,Amp,200,5/11/2018,432.6580985,111.0537498,0.016892912,4.43E-09,0.000258614,408.4603795,77.57366509,0.008956122,0.000839606,0.002600117,460.3597529,239.0062663,0.094064187,0.112552923,0.323279785,Discrimination,300,200,60,432.6580985,200,86.5316197,26.5316197,0.442193662
U,686,700,200,50,200,15,128,50,200,Amp,200,5/11/2018,805.0499516,129.3063032,1.40E-14,0.09447451,6.87E-13,757.5846941,91.62555414,0.000411897,0.00442677,0.002563202,833.6460137,337.5141132,0.057664629,0.258163681,0.311954688,Discrimination,700,200,140,805.0499516,200,161.0099903,21.00999032,0.150071359
U,686,1000,200,50,200,15,128,50,200,Amp,200,5/11/2018,1072.657436,205.3158981,2.51E-06,2.38E-14,6.36E-14,914.5631996,113.8805765,0.001443049,0.002485011,0.002515275,1166.856309,883.9520566,0.181639498,0.298646397,0.305155683,Discrimination,1000,200,200,1072.657436,200,214.5314873,14.53148727,0.072657436
Y,378,150,200,50,200,15,128,50,200,Amp,200,3/24/2017,166.5830491,45.73754736,4.98E-10,1.44E-08,0.000453457,162.7908757,31.99739077,0.000328281,0.001269341,0.003236146,171.6760234,65.02884381,0.044671025,0.158228652,0.301370054,Discrimination,150,200,30,166.5830491,200,33.31660981,3.316609812,0.11055366
Y,381,150,200,50,200,15,128,50,200,Amp,200,3/27/2017,165.6288184,38.66929226,1.67E-11,1.48E-08,1.77E-07,161.3471869,22.44942981,0.000744714,0.001652831,0.003306481,170.8406144,58.15431944,0.087498995,0.181729418,0.319122813,Discrimination,150,200,30,165.6288184,200,33.12576367,3.125763673,0.104192122
Y,381,180,200,50,200,15,128,50,200,Amp,200,3/27/2017,192.4274166,28.83767199,0.01881458,6.74E-06,2.92E-12,187.0573219,15.77197538,0.005595322,0.002153055,0.002285869,198.7482624,63.15116374,0.090925854,0.212529197,0.27212881,Discrimination,180,200,36,192.4274166,200,38.48548332,2.485483323,0.069041203
Y,381,200,200,50,200,15,128,50,200,Amp,200,3/27/2017,207.6444717,35.170501,0.008590128,2.56E-12,6.24E-11,200.5822609,14.95312373,0.007663989,0.003881634,0.003035026,216.2295076,67.6831995,0.061241667,0.332969667,0.339498255,Discrimination,200,200,40,207.6444717,200,41.52889434,1.528894337,0.038222358
Y,382,200,200,50,200,15,128,50,200,Amp,200,3/28/2017,211.8410265,50.01049614,9.13E-12,1.04E-07,3.52E-11,206.1128436,29.28742151,0.000402211,0.002525626,0.002079865,220.1327099,74.74620195,0.050386931,0.266530108,0.238668402,Discrimination,200,200,40,211.8410265,200,42.36820531,2.368205308,0.059205133
Y,382,240,200,50,200,15,128,50,200,Amp,200,3/28/2017,250.1385696,64.76700246,5.24E-11,3.20E-07,1.30E-10,242.8242425,38.86655627,0.000320394,0.002964981,0.002948389,262.1487594,92.62040852,0.044722754,0.326755479,0.291373929,Discrimination,240,200,48,250.1385696,200,50.02771392,2.027713919,0.04224404
Y,383,250,200,50,200,15,128,50,200,Amp,200,3/29/2017,250.1938548,98.37144313,1.77E-12,4.25E-05,9.03E-09,241.469603,55.08009096,0.000857466,0.002486979,0.001772074,262.0647468,126.3432728,0.066429834,0.293127087,0.18260611,Discrimination,250,200,50,250.1938548,200,50.03877097,0.038770968,0.000775419
Y,384,150,200,50,200,15,128,50,200,Amp,200,3/30/2017,163.3935504,36.52593227,0.02730179,5.51E-10,3.52E-10,156.4584269,21.35068689,0.009196352,0.002118085,0.003244453,170.9589217,76.39890363,0.101100979,0.235939911,0.335819711,Discrimination,150,200,30,163.3935504,200,32.67871008,2.678710083,0.089290336
Y,384,300,200,50,200,15,128,50,200,Amp,200,3/30/2017,302.4533801,213.7836057,1.44E-11,1.16E-07,1.00E-10,270.3819315,88.96482711,0.001944295,0.002699721,0.001859854,328.2597129,325.7523807,0.182027706,0.313306401,0.190519931,Discrimination,300,200,60,302.4533801,200,60.49067601,0.49067601,0.008177934
Y,388,150,200,50,200,15,128,50,200,Amp,200,4/3/2017,143.6387701,58.14846971,8.00E-13,0.059040859,7.39E-13,132.4668052,19.10079155,0.001348732,0.014668818,0.002283922,151.2845007,97.09935221,0.09694231,0.16916505,0.261046682,Discrimination,150,200,30,143.6387701,200,28.72775403,-1.272245972,-0.042408199
Y,388,220,200,50,200,15,128,50,200,Amp,200,4/3/2017,193.9550615,57.19874829,2.06E-12,0.086099855,4.86E-11,179.5328985,26.57696247,0.00045701,0.005627243,0.002332045,205.8241096,114.6642448,0.062971389,0.250865307,0.272624724,Discrimination,220,200,44,193.9550615,200,38.79101229,-5.208987705,-0.118386084
Y,390,150,200,50,200,15,128,50,200,Amp,200,4/5/2017,151.9292706,47.28575097,3.22E-08,2.78E-09,0.000146068,141.6562835,35.73840323,0.000627846,0.000296882,0.003793095,161.2129633,86.00970661,0.090564021,0.043645416,0.453682253,Discrimination,150,200,30,151.9292706,200,30.38585412,0.38585412,0.012861804
Y,390,210,200,50,200,15,128,50,200,Amp,200,4/5/2017,215.9926401,67.27758853,1.57E-05,4.71E-11,7.65E-11,208.5077353,42.09547746,0.00039581,0.002590264,0.001898125,225.9912189,95.36378512,0.044990309,0.301787085,0.211287058,Discrimination,210,200,42,215.9926401,200,43.19852801,1.198528012,0.028536381
Y,391,150,200,50,200,15,128,50,200,Amp,200,4/6/2017,157.7465446,101.0879536,2.14E-06,8.48E-13,6.24E-14,146.1552115,59.65394036,0.0007387,0.00294319,0.005665279,174.2110207,139.8516676,0.085544378,0.345799615,0.296548321,Discrimination,150,200,30,157.7465446,200,31.54930892,1.549308916,0.051643631
Y,395,200,200,50,200,15,128,50,200,Amp,200,4/10/2017,214.0363825,88.37298743,5.07E-08,4.48E-05,5.82E-05,202.4745282,50.52132916,0.000963397,0.002753394,0.002012418,228.2315521,132.3069144,0.105111781,0.312847268,0.216365823,Discrimination,200,200,40,214.0363825,200,42.8072765,2.807276499,0.070181912
Y,395,250,200,50,200,15,128,50,200,Amp,200,4/10/2017,267.7353936,166.7414961,7.06E-05,2.36E-11,3.54E-13,248.3427359,90.63734288,0.001721321,0.002499357,0.001692255,286.8144314,224.4029248,0.117703355,0.289923032,0.16809808,Discrimination,250,200,50,267.7353936,200,53.54707872,3.547078723,0.070941574
Y,398,110,200,50,200,15,128,50,200,Amp,200,4/13/2017,115.8758794,31.28041021,1.36E-11,5.12E-05,5.33E-09,106.8891175,17.72354974,0.000375546,0.002591989,0.002480293,122.805863,71.15212959,0.050534535,0.28859954,0.301543395,Discrimination,110,200,22,115.8758794,200,23.17517588,1.175175883,0.053417086
Y,398,200,200,50,200,15,128,50,200,Amp,200,4/13/2017,205.681594,64.84539836,0.014631559,6.39E-13,5.78E-13,194.9585508,34.81794984,0.001501459,0.002702232,0.002005828,216.8345439,112.2285117,0.076999495,0.322123024,0.222035446,Discrimination,200,200,40,205.681594,200,41.1363188,1.136318798,0.02840797
Y,399,110,200,50,200,15,64,50,200,Amp,200,4/14/2017,115.9311746,133.4369945,2.68E-12,6.94E-09,9.39E-13,88.42983721,78.51538554,0.000680272,0.002617989,0.002465376,134.9215348,242.7948642,0.086570113,0.313273084,0.274009742,Discrimination,110,200,22,115.9311746,200,23.18623492,1.186234918,0.053919769
Y,399,190,200,50,200,15,64,50,200,Amp,200,4/14/2017,211.5484594,99.36774895,0.039769278,1.57E-07,5.71E-05,179.6630937,38.30715661,0.010165383,0.002748225,0.002199196,233.2354009,268.3280478,0.117499901,0.300839584,0.244063404,Discrimination,190,200,38,211.5484594,200,42.30969188,4.309691884,0.113412944
Y,403,300,200,50,500,15,128,50,500,Amp,200,4/18/2017,348.3027312,58.71156454,0.141798533,5.62E-08,7.53E-05,314.3772833,30.02411683,0.002367215,0.001765828,0.00402064,405.0798579,543.3605566,0.194106779,0.217866592,0.346529103,Discrimination,300,200,60,348.3027312,200,69.66054624,9.660546241,0.161009104
Y,403,420,200,50,500,15,128,50,500,Amp,200,4/18/2017,534.0281443,385.425062,2.58E-11,5.43E-09,4.78E-07,460.7063427,112.8509587,0.002756995,0.003985761,0.002623725,622.0794758,532.3540337,0.306186424,0.340548981,0.285394737,Discrimination,420,200,84,534.0281443,200,106.8056289,22.80562886,0.271495582
Y,404,110,200,50,200,15,64,50,200,Amp,200,4/19/2017,122.9814983,62.20749525,2.04E-13,3.64E-05,3.73E-13,99.22919264,28.23545887,0.001222168,0.002457851,0.002309546,135.145863,162.3565221,0.143111856,0.289035355,0.264726177,Discrimination,110,200,22,122.9814983,200,24.59629967,2.596299668,0.118013621
